DISTRICT,Area,Rate,x,y,Lat,Long
100 Mile House Natural Resource District,16528170,0.02506908,1349745.07044072,752436.950140965,51.6716756114997,-120.931784583111
Campbell River Natural Resource District,498983800,0.30699693,955684.297277741,565058.146181373,50.0996099716527,-126.619468023385
Cariboo-Chilcotin Natural Resource District,242293400,0.22,1140544.70391697,768986.507056384,51.9143106118908,-123.953479377233
Cascades Natural Resource District,237374000,0.12536612,1313817.50409054,581898.57436816,50.1651208199211,-121.604205037679
Chilliwack Natural Resource District,294535200,-0.11337223,1232624.40413318,505643.495057672,49.5195826672066,-122.788086419011
Coast Mountains Natural Resource District,1124669000,0.60891363,797154.865475966,1141109.58950883,55.2266377530975,-129.197312809146
Fort Nelson Natural Resource District,24429950,0.2910189,1137865.56599989,1622466.31948628,59.5642257719583,-123.565157126065
Haida Gwaii Natural Resource District,144517200,0.19385831,587470.604720968,944861.705374509,53.3469320369224,-132.218211682328
Mackenzie Natural Resource District,78718160,-0.51606205,1076976.23217094,1271236.57005869,56.4275002745164,-124.749725662239
Nadina Natural Resource District,216046600,-0.3741904,949150.756097227,1004042.16649394,54.037202031546,-126.778248302115
North Island - Central Coast Natural Resource District,578561200,0.36216575,947531.75684068,714052.473728418,51.4370940620831,-126.755651453748
Okanagan Shuswap Natural Resource District,239679200,0.7233983,1463798.18746754,559829.79945575,49.8639955178583,-119.541288368814
Peace Natural Resource District,18994540,-0.09016086,1256927.68023712,1245435.85210276,56.1349821143688,-121.855762463703
Prince George Natural Resource District,41630980,0.15031683,1381625.75102981,942877.291911704,53.3525992749389,-120.247904986573
Quesnel Natural Resource District,84956850,-0.52968098,1097339.71750272,874930.824499456,52.8736810393186,-124.550816019752
Rocky Mountain Natural Resource District,488547400,-0.80011416,1741252.79018188,622821.008694113,50.1299868580223,-115.594163206825
Sea to Sky Natural Resource District,76078800,0.00780397,1227040.05346808,537318.666855499,49.8064598487124,-122.845613727874
Selkirk Natural Resource District,109911900,-0.04401168,1613082.29946048,628296.369291325,50.3332276537814,-117.364513748105
Skeena Stikine Natural Resource District,298806700,0.08844732,892200.00124775,1183512.80071565,55.6358599772727,-127.716217314287
South Island Natural Resource District,363519200,0.12277145,1050428.82050402,450642.900412056,49.0698949167866,-125.310658185953
Stuart Nechako Natural Resource District,532907200,-0.28428989,928015.187673182,1248401.34829986,56.2236624530498,-127.163123791966
Sunshine Coast Natural Resource District,66391200,0.17423912,1158015.06166239,542473.057168083,49.8762394330023,-123.801640838384
Thompson Rivers Natural Resource District,71163120,-0.67917344,1406451.86380028,773857.119132313,51.8238738682667,-120.087708745236
